species,min,max
Maxillaria vanderwerffii,450,850
Megalastrum reductum,100,1150
Megalastrum vastum,500,2670
Megathyrsus maximus,1,2400
Melanthera nivea,2,2667
Meliosma gracilis,540,1900
Meliosma violacea,600,3370
Mendoncia brenesii,100,2100
Mendoncia orbicularis,185,2700
Meniscium angustifolium,90,2150
Mesosphaerum sidifolium,150,3050
Mickelia nicotianifolia,5,2534
Mickelia oligarchica,100,1902
Miconia acostae,185,1400
Miconia astroplocama,142,2354
Miconia atropurpurea,50,1250
Miconia boekei,450,1100
Miconia bractiflora,15,2609
Miconia brevitheca,250,3500
Miconia conocentronioides,100,2323
Miconia conomicrantha,200,2375
Miconia conorufescens,20,1250
Miconia explicita,185,800
Miconia goniostigma,25,3200
Miconia loreyoides,55,3200
Miconia neoepiphytica,5,2735
Miconia rubescens,2,3000
Miconia sulcicaulis,5,2386
Miconia tenuifolia,25,2000
Microchilus ecuadorensis,200,700
Microchilus riopalenquensis,185,600
Microgramma percussa,2,2800
Microgramma tobagensis,64,1800
Mikania leiostachya,5,3493
Mikania leucophylla,450,3000
Mikania micrantha,2,3692
Monolena primuliflora,7.5,2600
Monopyle ecuadorensis,250,1400
Monopyle macrocarpa,100,2452
Monopyle sodiroana,50,2150
Moquilea magnifructa,30,1940
Moquilea megalophylla,250,1450
Mormodes frymirei,100,1000
Muntingia calabura,2.5,3548
Myrcia aliena,5,2700
Myrcia splendens,2.5,2850
Napeanthus robustus,50,2000
Nephrolepis pectinata,50,2908
Neurolaena lobata,2,2800
Niphidium crassifolium,3,3800
Nomopyle dodsonii,70,1500
Notopleura costaricensis,450,1850
Notopleura epiphytica,5,2700
Notopleura lateriflora,11,2148
Notopleura macrophylla,15.24,3000
Ocotea insularis,5,3100
Ocotea leucoxylon,30,2550
Odontocarya perforata,30,800
Oenocarpus bataua,5,1900
Oncidium poikilostalix,425,2100
Oncidium toachicum,500,1400
Oplismenus burmanni,1,3340
Oreopanax donnell-smithii,450,3350
Oreopanax oerstedianus,550,2600
Oryctanthus occidentalis,5,2250
Otoglossum globuliferum,400,2600
Oxalis barrelieri,22,2105
Oxalis spruceana,670,1260
Palhinhaea cernua,5,3835
Palicourea chimboracensis,185,2600
Palicourea dodsoniana,100,1400
Palicourea guianensis,2,3250
Palicourea palenquensis,70,2100
Palicourea pilosa,5,2400
Palicourea stenostachya,30,1902
Palmorchis rubioi,80,750
Palmorchis trilobulata,1.5,2000
Panopsis megistosperma,500,1555
Paspalum paniculatum,2,2359
Paspalum standleyi,15,3200
Passiflora auriculata,5,1980
Passiflora costaricensis,5,1000
Passiflora discophora,185,1842
Passiflora oerstedii,10,3540
Passiflora palenquensis,20,1200
Passiflora resticulata,70,3352.8
Passovia pyrifolia,2.5,2550
Paullinia bracteosa,5,1287
Paullinia clavigera,5,1550
Paullinia dasystachya,50,1200
Paullinia ingifolia,5,1950
Paullinia mazanensis,100,1150
Paullinia pachycarpa,95,1850
Pecluma divaricata,150,3300
Pentagonia grandiflora,38,1600
Peperomia abnormis,250,1100
Peperomia ceroderma,600,2253
Peperomia cordata,525,2460
Peperomia emarginella,5,2075
Peperomia rotundifolia,5,2500
Peperomia serpens,5,2535
Peperomia silvivaga,30,1860
Peperomia sylvestris,250,1900
Peperomia tamayoi,450,700
Peperomia verticillatispica,150,1500
Perebea angustifolia,41,2150
Perebea xanthochyma,1,2240
Peristethium leptostachyum,5,2700
Perrottetia distichophylla,5,2300
Phenax sonneratii,4,2800
Philodendron alliodorum,7.5,2000
Philodendron aurantiifolium,20,1981.2
Philodendron centinelense,300,650
Philodendron clarkei,59,2000
Philodendron dodsonii,80,2022
Philodendron heleniae,5,1675
Philodendron herbaceum,140,1200
Philodendron hooveri,100,1350
Philodendron inaequilaterum,5,2140
Philodendron melanoneuron,73,2230
Philodendron oligospermum,50,2800
Philodendron rhodoaxis,12,1650
Philodendron senatocarpium,50,2270
Philodendron sparreorum,3,1500
Philodendron squamipetiolatum,40,1465
Philodendron subhastatum,5,1829
Philodendron sulcatum,56,2190
Philodendron tenue,5,2580
Philodendron tenuipes,41,3200
Philodendron tripartitum,5,1566
Philodendron verrucosum,80,2012
Phlegmariurus dichaeoides,50,2720
Phlegmariurus linifolius,18,3500
Phlegmariurus sarmentosus,800,3000
Phlegmariurus tenuis,350,3475
Pholidostachys dactyloides,5,1593
